EA,EM,NE,NO,NT,NW,SC,SE,SO,SW,WM,WN,WS
1267.272492,1388.320149,858.13669,1177.945249,1725.987541,1775.66049,1478.234576,2067.807004,1060.645702,608.6632827,978.4180833,201.1982287,1061.483831
1168.83668,1997.063005,1516.067758,1158.428078,1585.443432,2981.046888,1332.83155,1948.29785,1036.99166,596.5324715,1902.824321,257.0029696,1134.472583
2340.992786,2626.676785,1583.043846,1154.718652,1481.991176,3159.670266,2359.169668,1888.153647,1039.811771,1151.939136,2039.867037,268.022475,1209.863524
1575.669548,1673.911274,1845.000815,1404.290836,1883.371002,3819.27029,1451.999584,2123.249484,1245.14445,1369.762219,1190.414589,297.0189583,1417.573993
2636.063221,2839.746775,2337.12415,1836.787738,3314.87455,3429.682177,1801.3528,3149.980995,1773.051313,1091.895983,2176.170508,357.9102515,1727.546631
3902.204936,4184.793877,2303.967822,1795.803215,4201.345384,4483.749854,3164.98668,5284.396381,3510.71116,2368.082619,3064.23753,323.6060292,1680.395884
5110.653808,5712.719731,3199.436244,2486.935113,5194.524186,6058.624446,4261.64633,6621.219772,4671.349514,3238.932225,4312.513349,499.4376723,2066.836817
5175.621841,6246.69997,3545.062567,2807.584764,5474.253488,6732.591261,4466.460622,6634.788312,4543.355563,3172.974602,4827.566059,563.9845908,2244.058253
4870.079198,6036.323412,3415.910882,2828.581402,5394.386951,6823.141668,4248.625426,6219.116738,4094.089416,2796.582971,4872.948532,555.030601,2323.641373
4435.677537,5429.729863,3047.127013,2578.403313,5385.445948,6496.991957,4006.589558,5851.343673,3734.590249,2505.190175,4615.8733,499.7241185,2292.133139
4300.110416,5054.810887,2806.996942,2374.810046,5423.132938,6198.218483,3895.003377,5727.816491,3580.726346,2460.806855,4411.727931,434.2737542,2449.000366
4355.745517,4752.793198,2620.794681,2173.10236,5498.91859,5841.339965,3891.78128,5770.416663,3700.336239,2531.060367,4336.08686,416.1060028,2529.644219
4245.537415,4526.547138,2508.739782,2068.77096,5387.314663,5472.259732,4005.582861,5713.666949,3668.816513,2489.783923,4389.818097,380.5219493,2537.383507
4352.154164,4769.806833,2611.565246,2171.104003,5414.855504,5634.183541,4149.226717,5833.862057,3787.758158,2506.468495,4681.571109,415.7045226,2626.799308
5101.993493,6172.890537,3433.169522,2930.858698,5872.580005,6895.000705,4739.161445,6750.372434,4310.457361,3000.869447,5319.735248,555.6557793,3123.399475
5810.240573,7292.654965,4169.619048,3482.061227,6552.135559,8440.078565,5313.831875,7905.658085,5173.826329,3828.141462,5892.327728,743.3333585,3518.786745
6070.566739,7624.088015,4394.441087,3593.2812,6794.299001,8998.678188,5477.083209,8385.841866,5363.181857,4198.541998,6033.442592,776.7537313,3614.243868
6075.187912,7678.938181,4535.410157,3695.143826,7020.468367,9148.961283,5540.148183,8235.9082,5169.590803,4012.01257,6031.546422,795.5912769,3585.140328
5670.549943,7092.117423,4267.88866,3383.161559,6704.615427,8513.703805,5186.933198,7742.722021,4726.483836,3615.607837,5587.959822,716.7871162,3203.852186
5171.381888,6358.767893,3884.372675,2994.441965,6238.155758,7623.18899,4736.487101,7036.881165,4238.698702,3166.168939,5062.929278,639.9733035,2637.046551
4344.02309,5147.669837,3172.497219,2413.596432,5450.971892,6224.609578,3982.821364,5766.793276,3483.379507,2517.253803,4185.733945,519.6017618,1947.408854
3006.919296,3430.016742,2138.690496,1664.563858,4079.24615,4351.910972,2918.743082,4017.818291,2273.731237,1581.968356,2791.310916,347.9311732,1394.884446
1423.511104,1702.179884,1203.272122,946.6430131,2108.520293,2312.273415,1939.878806,2625.734944,1278.490813,885.1595566,1296.507314,181.5289116,928.1045916
1133.129099,1396.977179,947.0816411,783.7594456,1656.120761,1875.88661,1491.487045,2144.128572,1027.582977,664.1032191,969.424172,217.3295242,1068.885626
1057.598599,1382.57003,1531.394491,1230.199461,1480.91623,2761.936444,1362.573099,2051.872313,1046.903858,626.1617866,880.1457309,250.9308369,1047.69176
1881.61253,2359.515592,1567.988392,1267.02856,1384.014599,2840.452377,1283.25334,2043.580112,1099.43834,896.6852968,1729.596883,261.4793573,1135.230632
2033.887496,2496.467678,1626.8831,1316.431143,1314.572483,2991.647555,2257.224062,2092.490061,1105.559388,1210.416966,1826.900623,287.49543,1209.494734
2525.643627,2714.140876,1984.380693,1631.004389,1745.55403,3675.200337,1496.986076,2726.124694,1443.26091,1472.798624,1903.043165,328.7535823,1476.52091
2352.262789,2962.830168,1774.587384,1437.799401,2987.12267,3383.79089,2107.957003,4392.736441,2349.617696,1458.80933,2071.879328,416.6435731,1965.368613
5075.296521,5931.64543,3459.710849,2684.500486,5811.751211,6459.559964,4051.30753,7384.930093,4787.261856,3276.992948,4634.136787,483.0415188,2150.214205
5825.233708,7119.881928,4171.447045,3383.316239,6558.002436,7971.171137,4889.78784,8184.359372,5322.107985,3828.747358,5616.434312,633.1072721,2604.279176
4973.982932,6360.147184,3804.423812,3154.360145,5748.748659,7338.540236,4370.211676,6993.854384,4271.049385,3221.166836,5071.78235,602.8486943,2468.904383
